Review Title,Reviewer Name,Reviewer Location,Review Time,Verified,Review Text,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Overall Rating,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended
"""Staff and aircraft were fantastic""",George Nicholas Rutter,New Zealand,20th September 2023,Trip Verified,"First time traveling with Qatar Airways, from Auckland NZ to Milan return via Doha. Staff and aircraft were fantastic! Food and service no 1. Lay flat bed in business class probably the best I've been on. I recommend using Qatar Airways to others",,Business,Business Class,Doha to Auckland,September 2023,10,5.0,4.0,5.0,4.0,4.0,4,yes
"""my seat was not in an exit row""",C Mayre,United States,19th September 2023,Trip Verified,"I paid $88 USD extra for an exit row seat with extra leg room, based on the Qatar Airways seat map during online purchase. But my seat was not in an exit row. I assumed that the aircraft had been changed at the last minute and that the airline would refund the fee. After complaining to Qatar Airways twice, they denied that there was anything wrong.",,Solo Leisure,Economy Class,Doha to Istanbul,September 2023,1,1.0,,,,1.0,1,no
"""Brilliant service as always""",Moeen Omar,South Africa,18th September 2023,Trip Verified,"Brilliant service as always, clean and modern aircraft. Service outstanding, personal greeting and recognition by onboard crew probably because I have gold status, was not expecting this and it pleasantly blew me away that they offered this personal touch. I booked Al Maha services and was really impressed. Staff go out of their way to make you feel welcome and comfortable, cannot fault a single cabin crew member. Food always of a high standard. Hamad International airport amongst best in the world. Lounges brilliant. I will likely always choose Qatar even though a direct route to certain destinations may be more convenient and cheaper.",,Family Leisure,Economy Class,Johannesburg to Barcelona via Doha,September 2023,10,5.0,5.0,5.0,4.0,5.0,5,yes
"""changed our plane to one that didn't have Qsuites""",J Meares,Australia,18th September 2023,Trip Verified,"We booked 2 business seats to Europe and we had to pay to choose our seats. I paid $989.80 to select seats. We were supposed to be on Qsuites, one of the reasons we booked with Qatar. On the First leg from Athens to Doha they changed our plane to one that didn't have Qsuites. The seats they allocated us were at the rear on the business cabin, very noisy. As we didn't get the seats we paid for I thought they would offer us a refund for the money we paid to select seats . When we got home I waited for a few days and when I didn't hear from them I contacted them via email. They refused to compensate for the downgrade from Qsuites and they wanted me to sign an Indemnity and Waiver of Liability Form to refund the money I paid for a service they didn't supply. They should refund the fee they charged for seat allocation on this leg.",A380 / Boeing 777 / 787-9,Couple Leisure,Business Class,Sydney to Athens via Doha,August 2023,2,4.0,4.0,3.0,2.0,1.0,3,no
"""Incredible from start to finish""",A Derrick,Australia,18th September 2023,Not Verified,Incredible experience from start to finish. Feel like I was the only one on the plane. I heard anecdotally how good this was to be and I can honestly say my expectations were exceeded. I have found my airline. I feel comfortable now that all my future airline needs are in good hands. Looking for to the return trip in late September. See you soon.,,Business,Business Class,Brisbane to Paris via Doha,August 2023,10,5.0,5.0,5.0,5.0,5.0,5,yes
"""not able to select seat""",D Tewari,United States,15th September 2023,Not Verified,I was not able to select check-in/seat within 24 hrs of the flight. I have tried on Qatar web and called several times but no help was received and most window seats are gone.,Boeing 777-300ER,Couple Leisure,Economy Class,Philadelphia to Delhi via Doha,September 2023,3,,,,,,2,no
"""highly polished, professional service""",J Mayes,Lebanon,14th September 2023,Trip Verified,I upgraded to Business Class (Q-Suites,Boeing 777-300ER,Solo Leisure,Business Class,Beirut to Tokyo via Doha,September 2023,10,4.0,5.0,5.0,4.0,5.0,4,yes
"""not able complete the food service""",V Mann,Germany,14th September 2023,Trip Verified,Cabin staff service: Inflight staff is very inexperienced or there is not enough staff. Most of the passengers have complained about inflight service. They were not able complete the food service also on time. Food : For the long term flight food also very bad. Most of the people are not eating some particular items. May be airline can identify this item and remove this item from the menu.,Boeing 787,Family Leisure,Economy Class,Mumbai to Frankfurt via Doha,September 2023,2,2.0,1.0,1.0,2.0,2.0,1,no
"""This is truly a 5 star airline""",K Martin,Australia,13th September 2023,Trip Verified,"Fantastic service, professional staff. Would definitely fly with Qatar again. Drink and meal service was amazing. Qatar allow you to dine when you want and continuously top up drinks. You are able to pick what you like from the menu when you want. The private suites are amazing. This is truly a 5 star airline.",Boeing 777,Solo Leisure,Business Class,Doha to Tokyo,August 2023,10,5.0,5.0,5.0,5.0,5.0,5,yes
"""another fantastic experience""",N Kasouri,United Kingdom,13th September 2023,Trip Verified,Yet another fantastic experience with Qatar Airways. Check in service at Heathrow was an absolute pleasure. Services onboard QR 010 on 7th September provided by cabin crew was second to none. They were a fantastic cabin crew and was absolute pleasure flying with them. Thank you very much.,A350-900,Solo Leisure,Economy Class,London Heathrow to Doha,September 2023,10,4.0,5.0,4.0,4.0,5.0,4,yes
"""Seat comfort on 787 absolute zero""",E Paulsen,Thailand,12th September 2023,Trip Verified,"Staff good. Food ok. Seat comfort on 787 absolute zero. I'm 6ft 4"" . No room for me at all and the person in front trying to push the seat back to recline. You can pay for a reserved seat at nearly £100 per flight. Adverts when you try to watch movies.",Boeing 787,Couple Leisure,Economy Class,Bangkok to Gatwick via Doha,September 2023,1,1.0,4.0,3.0,3.0,3.0,2,no
"""waiting for some invoices for more than a year""",C Kadyka,Poland,12th September 2023,Trip Verified,"I have ""Gold"" status in the loyalty program. After each trip, I send a request via their website to issue an invoice. Customer service ignores my requests. I have been waiting for some invoices for more than a year. The call center is helpless and they say they only send ""escalations"" to the head office. The trip itself is, of course, great, but the customer service is at a dramatic level and makes me feel frustrated and helpless.",A380 / A330 / B777,Business,Business Class,Warsaw to Phuket via Doha,May 2023,7,4.0,4.0,5.0,4.0,5.0,3,yes
"""Food was terrible""",Richard Laycock,United Kingdom,10th September 2023,Trip Verified,"The first leg of this flight was on the A380 and the second was on a Boeing 787. The A380 was full booked and it’s a remarkable aircraft. Food was terrible on both flights. On the second flight I was starving and was disappointed when all I was given as my first meal was a sandwich. Then the breakfast was inedible. The crew on the flight didn’t seem to get on with each other. Rather unprofessional. Wi-Fi didn’t work. In flight entertainment is superb, credit where credit is due. Wasn’t impressed with Qatar on my last couple of flights.",A380,Solo Leisure,Economy Class,Bangkok to Edinburgh via Doha,August 2023,4,3.0,1.0,1.0,5.0,5.0,2,no
"""food on these flights was really tasty""",Richard Laycock,United Kingdom,10th September 2023,Trip Verified,"I found these two flights quite difficult from a personal standard. The first leg was at 8am, and I was wide awake for and couldn’t rest. The second flight I tried to get some rest but I couldn’t. The food on these flights was really tasty. Especially the Edinburgh to Doha leg. The in flight entertainment was vast and very good. I had checked in online and went straight to security with my E boarding pass, but it didn’t work at security. They let me through then the airline printed me a hard copy at the gate.",Boeing 787-8,Solo Leisure,Economy Class,Edinburgh to Bangkok via Doha,August 2023,8,3.0,4.0,4.0,5.0,3.0,4,yes
"""Indigo was absolutely horrible""",T Morton,United Kingdom,9th September 2023,Trip Verified,"London to Doha was average. Food quality has gone down and entertainment was pretty average with no new movies. Doha to Kochi was with a 'no-frill' airline Indigo from Doha to Kochi. This was absolutely horrible, seats were thin and very uncomfortable, no entertainment, my food was absolutely horrible and staff could not care less. Qatar trying to make a profit by providing customers with a no-frill service is unbelievable and not acceptable. After landing in Doha, we had to take a 25 minute bus ride from the plane to the airport.",,Family Leisure,Economy Class,London to Kochi via Doha,August 2023,1,2.0,3.0,2.0,2.0,1.0,1,no
"""I highly recommend Qatar Airways""",Michelle Rollason,Australia,9th September 2023,Trip Verified,"Qatar Airways is one of the most professional airlines. I was very ill on flight, the steward called doctor who allowed medication to be given to help me, then exceptional service once arrived in Doha. I was taken to lounge to shower and escorted to a resting area as I was travelling alone. I highly recommend Qatar Airways. I felt that I was in very safe hands.",A380,Business,Business Class,Sydney to Rome via Doha,July 2023,10,5.0,5.0,5.0,5.0,5.0,5,yes
"""everything was just amazing""",Ayesha Amjad,Pakistan,7th September 2023,Trip Verified,"Qatar Airways is undoubtedly the best airline. From booking my tickets on line to online checkin, airport services, in flight comfort, cabin crew, transfer at Doha, everything was just amazing. Although tickets were comparatively expensive however services were value to money.",,Family Leisure,Economy Class,Islamabad to London via Doha,September 2023,10,5.0,5.0,4.0,5.0,5.0,5,yes
"""service throughout was exceptional""",Rajapaksa Minimuthu Rajapaksa,Sri Lanka,6th September 2023,Trip Verified,I travelled from Geneva to Qatar and Qatar to Colombo using Qatar airways. I was pleasantly surprised to see the concern of the staff regarding the passengers issues. We made a mistake when we checked in to the Geneva airport. We did a hassle free online check in including user friendly seat reservations which helped us to identify seats to our liking and received the boarding pass immediately. However we were confused at the airport as it was our first journey through Geneva airport and did not attend to luggage. At the boarding gate only we realized that we were carrying huge bags with us. When we explained our situation to the Qatar air ways staff they calmly accepted the challenge and attended to our needs immediately without causing us any pain. We are grateful to all the ground staff and crew members at the gate 56 at 16.10 on the 2nd September for their concern. Even while serving us cabin crew members were polite to check on us to make sure that everything regarding our bags is OK. This shows their genuine interest in the well being of the passengers which they may have gained through exemplary training or/and air line may be selecting the ideal people having humanely qualities. The service we received throughout was exceptional. Thank you Qatar airways.,,Business,Economy Class,Geneva to Colombo via Doha,September 2023,9,4.0,5.0,5.0,5.0,5.0,5,yes
"""I was given a middle seat""",Adrien Rousseau,New Zealand,5th September 2023,Trip Verified,"Although I booked an aisle seat, I was given a middle seat at check-in without anyone mentioning the change, so I had the surprise when I boarded the plane. The flight attendants were very nice and apologetic and tried to find a solution but since the flight was full there wasn't much they could do. I am aware that sometimes there is a last minute change of aircraft and all the seats are changed, but I believe this was not one of these situations because my neighbours on either had the seat they had booked even before I booked mine. I strongly suspect that this happened when I upgraded my return flight to business class, a glitch in the system cleared my seat selection for the outbound journey. I wrote to Qatar Airways about it, and they replied that they are free to change seats at any time, including after boarding. There wasn't enough food, 2 meals and one sandwich, and my vegetarian ovo-lacto meal was a vegan meal. There also seemed to be some confusion among the staff, a couple of times they served me a regular meal and then took it away to give me the special meal. The flights were on time, IFE was good and the flight attendants were very nice.",A350,Solo Leisure,Economy Class,Auckland to London via Doha,September 2023,5,2.0,4.0,2.0,5.0,4.0,2,no
"""Will not use them again""",M Garten,United Kingdom,4th September 2023,Trip Verified,"The plane from Bangkok to Doha was decent enough but the Boeing 777-300ER from Doha to LHR was shocking. Mould on the ceiling and interior, badly cleaned surfaces.  Will not use them again in the future unless they improve. The airport was decent enough. I'm giving them a score this high because of the onboard staff who did the best they could.",,Solo Leisure,Economy Class,Bangkok to London via Doha,September 2023,5,2.0,5.0,3.0,2.0,3.0,2,no
"""the personal service was fantastic""",Alwaleed Althani,Qatar,3rd September 2023,Trip Verified,London to Doha was delayed two hours but Qatar Airways failed to inform the passengers about this and not to wake up at 4AM and get to the airport. The onboard the personal service was fantastic especially Maria and Stephanie they really took care of the passengers. The IFE was not working on my seat 1A and WI-FI was patchy but it was nice to experience the Qatar Airways A380 again.,A380,Solo Leisure,First Class,London to Doha,September 2023,9,5.0,5.0,5.0,1.0,1.0,4,yes
