iter	Passed	Remaining
629	12970	19970
630	12991	19950
631	13011	19928
632	13030	19906
633	13050	19884
634	13072	19866
635	13094	19847
636	13116	19829
637	13141	19815
638	13165	19799
639	13185	19778
640	13203	19754
641	13223	19732
642	13242	19708
643	13261	19687
644	13281	19665
645	13303	19646
646	13324	19626
647	13346	19607
648	13368	19589
649	13387	19566
650	13420	19564
651	13440	19541
652	13461	19522
653	13483	19504
654	13503	19482
655	13520	19456
656	13540	19434
657	13560	19413
658	13581	19393
659	13600	19371
660	13619	19347
661	13640	19326
662	13661	19307
663	13680	19285
664	13699	19262
665	13720	19241
666	13742	19223
667	13764	19204
668	13784	19183
669	13806	19163
670	13826	19143
671	13846	19121
672	13866	19100
673	13885	19077
674	13904	19054
675	13925	19034
676	13946	19014
677	13967	18993
678	13988	18973
679	14008	18953
680	14028	18931
681	14049	18911
682	14069	18890
683	14088	18867
684	14108	18845
685	14127	18822
686	14149	18804
687	14171	18785
688	14191	18763
689	14212	18744
690	14232	18722
691	14252	18701
692	14274	18681
693	14293	18659
694	14312	18637
695	14329	18612
696	14350	18591
697	14371	18571
698	14392	18551
699	14416	18535
700	14439	18517
701	14461	18498
702	14482	18478
703	14504	18459
704	14525	18440
705	14547	18420
706	14566	18398
707	14588	18379
708	14607	18356
709	14626	18334
710	14645	18311
711	14666	18292
712	14685	18269
713	14706	18249
714	14726	18228
715	14746	18206
716	14767	18186
717	14788	18166
718	14808	18145
719	14828	18123
720	14849	18103
721	14868	18080
722	14889	18061
723	14907	18037
724	14928	18016
725	14948	17996
726	14967	17973
727	14987	17952
728	15005	17928
729	15025	17906
730	15046	17886
731	15065	17864
732	15084	17842
733	15102	17818
734	15122	17797
735	15141	17774
736	15161	17754
737	15182	17733
738	15199	17709
739	15219	17687
740	15238	17665
741	15258	17643
742	15277	17621
743	15297	17599
744	15315	17576
745	15333	17553
746	15352	17530
747	15370	17507
748	15391	17487
749	15410	17465
750	15429	17442
751	15447	17419
752	15468	17399
753	15488	17378
754	15508	17357
755	15527	17335
756	15546	17312
757	15566	17291
758	15587	17271
759	15607	17250
760	15625	17227
761	15644	17204
762	15663	17182
763	15688	17166
764	15711	17149
765	15734	17130
766	15757	17113
767	15777	17091
768	15798	17072
769	15819	17051
770	15838	17030
771	15858	17008
772	15878	16988
773	15899	16967
774	15921	16948
775	15941	16927
776	15962	16907
777	15982	16886
778	16003	16866
779	16023	16845
780	16042	16822
781	16061	16801
782	16083	16781
783	16102	16759
784	16123	16739
785	16142	16717
786	16163	16697
787	16182	16675
788	16201	16653
789	16220	16631
790	16238	16607
791	16256	16585
792	16277	16564
793	16297	16543
794	16315	16521
795	16334	16498
796	16354	16477
797	16374	16456
798	16394	16435
799	16412	16412
800	16431	16390
801	16451	16369
802	16472	16349
803	16492	16328
804	16511	16306
805	16532	16286
806	16552	16265
807	16573	16245
808	16594	16225
809	16615	16205
810	16636	16184
811	16656	16164
812	16677	16144
813	16700	16125
814	16720	16105
815	16741	16084
816	16760	16063
817	16782	16044
818	16804	16024
819	16826	16005
820	16847	15985
821	16870	15967
822	16890	15946
823	16912	15927
824	16932	15906
825	16953	15886
826	16976	15867
827	16997	15848
828	17018	15827
829	17040	15809
830	17063	15790
831	17084	15769
832	17105	15750
833	17126	15729
834	17147	15709
835	17166	15688
836	17187	15667
837	17208	15647
838	17227	15625
839	17248	15606
840	17269	15585
841	17291	15566
842	17311	15545
843	17331	15524
844	17353	15504
845	17373	15484
846	17394	15463
847	17414	15443
848	17436	15423
849	17460	15406
850	17481	15386
851	17503	15366
852	17524	15346
853	17544	15325
854	17565	15305
855	17586	15285
856	17608	15266
857	17630	15246
858	17650	15226
859	17672	15206
860	17693	15186
861	17716	15167
862	17737	15147
863	17758	15127
864	17778	15106
865	17798	15085
866	17819	15065
867	17842	15046
868	17863	15026
869	17885	15007
870	17906	14987
871	17926	14966
872	17949	14947
873	17968	14925
874	17990	14906
875	18010	14885
876	18028	14863
877	18049	14842
878	18071	14822
879	18092	14803
880	18113	14782
881	18133	14761
882	18154	14741
883	18176	14722
884	18197	14701
885	18218	14681
886	18239	14661
887	18261	14642
888	18281	14621
889	18302	14600
890	18323	14580
891	18344	14560
892	18365	14540
893	18387	14520
894	18409	14501
895	18430	14481
896	18451	14460
897	18473	14441
898	18494	14421
899	18515	14401
900	18537	14381
901	18556	14359
902	18577	14339
903	18598	14319
904	18621	14300
905	18641	14279
906	18663	14259
907	18685	14240
908	18706	14220
909	18727	14200
910	18748	14179
911	18770	14159
912	18789	14138
913	18810	14118
914	18834	14100
915	18856	14080
916	18879	14062
917	18900	14041
918	18922	14022
919	18944	14002
920	18965	13982
921	18987	13962
922	19007	13941
923	19030	13922
924	19051	13902
925	19071	13881
926	19093	13861
927	19113	13841
928	19136	13821
929	19156	13800
930	19168	13773
931	19189	13754
932	19210	13733
933	19233	13714
934	19254	13694
935	19276	13674
936	19297	13654
937	19317	13633
938	19339	13613
939	19358	13592
940	19379	13572
941	19400	13551
942	19422	13531
943	19441	13510
944	19463	13490
945	19484	13469
946	19505	13449
947	19526	13429
948	19547	13409
949	19570	13390
950	19591	13369
951	19613	13350
952	19633	13329
953	19655	13309
954	19678	13290
955	19699	13270
956	19720	13250
957	19741	13229
958	19763	13210
959	19784	13189
960	19806	13169
961	19827	13149
962	19849	13129
963	19869	13109
964	19890	13088
965	19910	13067
966	19929	13045
967	19949	13024
968	19968	13003
969	19990	12983
970	20011	12963
971	20032	12942
972	20052	12921
973	20074	12902
974	20095	12881
975	20116	12861
976	20138	12841
977	20160	12821
978	20181	12801
979	20202	12781
980	20224	12761
981	20244	12740
982	20263	12718
983	20284	12698
984	20305	12678
985	20328	12658
986	20350	12638
987	20372	12619
988	20393	12599
989	20414	12578
990	20435	12557
991	20456	12537
992	20478	12517
993	20499	12497
994	20521	12477
995	20541	12456
996	20562	12436
997	20583	12416
998	20605	12396
999	20625	12375
1000	20647	12355
1001	20667	12334
1002	20687	12313
1003	20707	12292
1004	20731	12273
1005	20754	12254
1006	20775	12234
1007	20797	12214
1008	20818	12193
1009	20840	12173
1010	20862	12154
1011	20881	12132
1012	20902	12112
1013	20923	12092
1014	20945	12071
1015	20965	12051
1016	20986	12030
1017	21007	12009
1018	21028	11989
1019	21049	11969
1020	21071	11949
1021	21092	11929
1022	21112	11908
1023	21133	11887
1024	21154	11867
1025	21174	11846
1026	21195	11825
1027	21217	11805
1028	21238	11785
1029	21260	11765
1030	21281	11745
1031	21303	11725
1032	21324	11704
1033	21346	11684
1034	21367	11664
1035	21389	11644
1036	21410	11623
1037	21431	11603
1038	21453	11583
1039	21473	11562
1040	21494	11542
1041	21515	11521
1042	21536	11501
1043	21556	11480
1044	21577	11459
1045	21598	11439
1046	21619	11419
1047	21641	11398
1048	21662	11378
1049	21684	11358
1050	21703	11337
1051	21725	11317
1052	21747	11297
1053	21768	11276
1054	21788	11255
1055	21810	11235
1056	21831	11215
1057	21851	11194
1058	21871	11173
1059	21893	11153
1060	21913	11132
1061	21935	11112
1062	21959	11093
1063	21981	11073
1064	22002	11052
1065	22023	11032
1066	22044	11011
1067	22065	10991
1068	22086	10971
1069	22107	10950
1070	22128	10930
1071	22150	10909
1072	22171	10889
1073	22192	10869
1074	22211	10847
1075	22233	10827
1076	22254	10807
1077	22276	10787
1078	22297	10766
1079	22318	10746
1080	22339	10725
1081	22361	10705
1082	22382	10684
1083	22405	10665
1084	22426	10644
1085	22447	10624
1086	22468	10603
1087	22490	10583
1088	22510	10562
1089	22528	10540
1090	22548	10519
1091	22567	10498
1092	22588	10477
1093	22606	10455
1094	22625	10434
1095	22646	10414
1096	22666	10393
1097	22695	10376
1098	22717	10356
1099	22739	10336
1100	22759	10315
1101	22782	10295
1102	22801	10273
1103	22818	10251
1104	22836	10229
1105	22857	10209
1106	22880	10189
1107	22898	10167
1108	22916	10146
1109	22935	10124
1110	22954	10103
1111	22975	10082
1112	22996	10062
1113	23017	10041
1114	23037	10020
1115	23057	9999
1116	23077	9978
1117	23097	9958
1118	23116	9936
1119	23136	9915
1120	23147	9890
1121	23168	9870
1122	23189	9849
1123	23210	9829
1124	23229	9808
1125	23247	9786
1126	23266	9764
1127	23287	9744
1128	23308	9723
1129	23328	9703
1130	23347	9681
1131	23367	9660
1132	23386	9639
1133	23405	9618
1134	23425	9597
1135	23444	9576
1136	23465	9555
1137	23485	9534
1138	23503	9512
1139	23524	9492
1140	23548	9472
1141	23571	9453
1142	23596	9434
1143	23616	9413
1144	23638	9393
1145	23658	9372
1146	23679	9351
1147	23700	9331
1148	23719	9310
1149	23740	9289
1150	23760	9268
1151	23780	9247
1152	23799	9226
1153	23819	9205
1154	23837	9184
1155	23856	9162
1156	23876	9141
1157	23895	9120
1158	23915	9099
1159	23934	9078
1160	23953	9057
1161	23973	9036
1162	23991	9014
1163	24012	8994
1164	24031	8973
1165	24051	8952
1166	24071	8931
1167	24091	8910
1168	24111	8889
1169	24131	8868
1170	24149	8847
1171	24168	8825
1172	24188	8805
1173	24209	8784
1174	24228	8763
1175	24246	8742
1176	24265	8720
1177	24282	8698
1178	24302	8677
1179	24321	8656
1180	24340	8635
1181	24361	8615
1182	24382	8594
1183	24403	8574
1184	24424	8553
1185	24444	8532
1186	24465	8512
1187	24484	8491
1188	24505	8470
1189	24525	8450
1190	24547	8429
1191	24566	8408
1192	24588	8388
1193	24608	8367
1194	24628	8346
1195	24647	8325
1196	24668	8305
1197	24688	8284
1198	24709	8263
1199	24729	8243
1200	24751	8223
1201	24771	8202
1202	24792	8181
1203	24813	8161
1204	24832	8140
1205	24852	8119
1206	24873	8098
1207	24894	8078
1208	24913	8057
1209	24934	8036
1210	24955	8016
1211	24978	7996
1212	24999	7976
1213	25019	7955
1214	25041	7934
1215	25062	7914
1216	25084	7894
1217	25105	7873
1218	25125	7852
1219	25145	7832
1220	25166	7811
1221	25187	7791
1222	25208	7770
1223	25228	7749
1224	25249	7729
1225	25271	7709
1226	25293	7688
1227	25315	7668
1228	25337	7648
1229	25358	7628
1230	25378	7607
1231	25399	7586
1232	25419	7566
1233	25441	7545
1234	25463	7525
1235	25484	7504
1236	25504	7484
1237	25524	7463
1238	25546	7443
1239	25567	7422
1240	25587	7402
1241	25607	7381
1242	25626	7360
1243	25648	7339
1244	25669	7319
1245	25692	7299
1246	25715	7279
1247	25734	7258
1248	25755	7238
1249	25777	7217
1250	25797	7197
1251	25818	7176
1252	25839	7155
1253	25860	7135
1254	25880	7114
1255	25902	7094
1256	25923	7073
1257	25944	7053
1258	25965	7032
1259	25987	7012
1260	26007	6991
1261	26029	6971
1262	26050	6950
1263	26071	6930
1264	26092	6909
1265	26113	6889
1266	26134	6868
1267	26156	6848
1268	26177	6827
1269	26197	6807
1270	26219	6786
1271	26240	6766
1272	26264	6746
1273	26287	6726
1274	26307	6705
1275	26329	6685
1276	26350	6665
1277	26372	6644
1278	26393	6624
1279	26415	6603
1280	26437	6583
1281	26459	6563
1282	26481	6542
1283	26501	6522
1284	26523	6501
1285	26544	6481
1286	26566	6461
1287	26587	6440
1288	26608	6419
1289	26629	6399
1290	26650	6378
1291	26671	6358
1292	26689	6336
1293	26709	6316
1294	26731	6295
1295	26750	6274
1296	26772	6254
1297	26795	6234
1298	26817	6214
1299	26838	6193
1300	26859	6173
1301	26881	6152
1302	26902	6132
1303	26924	6111
1304	26946	6091
1305	26966	6070
1306	26986	6049
1307	27007	6029
1308	27028	6008
1309	27048	5987
1310	27070	5967
1311	27090	5946
1312	27111	5926
1313	27132	5905
